Timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
407,-1.2809,-9.9599,-0.1269,0.4042,-0.3861,0.2190
414,-1.2977,-9.9742,-0.0934,0.3613,-0.3816,0.2292
422,-1.2402,-9.9718,-0.0311,0.3184,-0.3741,0.2334
431,-1.2210,-9.8689,-0.0263,0.2864,-0.3619,0.2358
438,-1.1923,-9.8976,-0.0479,0.2558,-0.3475,0.2294
446,-1.1923,-9.8402,0.0000,0.2292,-0.3347,0.2214
454,-1.0846,-9.8282,0.0503,0.2097,-0.3158,0.2076
462,-1.0822,-9.8090,0.0215,0.1966,-0.2960,0.1913
471,-1.0558,-9.7875,0.1030,0.1836,-0.2726,0.1695
479,-1.0439,-9.7827,0.0982,0.1831,-0.2465,0.1450
486,-1.0702,-9.7803,0.1101,0.1820,-0.2150,0.1130
494,-1.0175,-9.7252,0.1700,0.1865,-0.1849,0.0797
502,-1.0343,-9.6798,0.0551,0.1940,-0.1596,0.0394
510,-0.9673,-9.6726,0.1844,0.2078,-0.1319,0.0011
519,-0.9840,-9.6438,0.2203,0.2292,-0.1026,-0.0432
526,-1.0439,-9.6774,0.1556,0.2441,-0.0770,-0.0874
534,-1.0032,-9.5984,0.1508,0.2643,-0.0482,-0.1316
542,-1.0511,-9.5792,0.1221,0.2774,-0.0253,-0.1641
550,-1.1181,-9.5792,0.1341,0.2931,-0.0016,-0.1905
559,-1.1588,-9.5960,0.1724,0.2960,0.0218,-0.2124
567,-1.1588,-9.6007,0.0096,0.2926,0.0384,-0.2206
574,-1.2186,-9.5768,0.0239,0.2878,0.0594,-0.2244
582,-1.2234,-9.4906,0.0503,0.2779,0.0693,-0.2220
590,-1.2186,-9.4595,0.0096,0.2593,0.0834,-0.2113
599,-1.3192,-9.4715,-0.0886,0.2388,0.0978,-0.1932
607,-1.3240,-9.4020,0.0479,0.2100,0.1031,-0.1705
614,-1.3695,-9.4212,-0.0551,0.1783,0.1034,-0.1476
622,-1.3671,-9.3709,-0.0407,0.1471,0.1055,-0.1202
630,-1.3479,-9.4188,-0.0431,0.1103,0.1010,-0.0909
638,-1.3599,-9.3661,-0.0479,0.0722,0.1023,-0.0541
647,-1.4461,-9.4092,-0.1173,0.0304,0.0943,-0.0200
655,-1.3982,-9.3901,-0.1006,-0.0165,0.0906,0.0128
662,-1.4174,-9.3853,-0.1293,-0.0594,0.0842,0.0493
670,-1.3815,-9.3470,-0.0527,-0.1071,0.0799,0.0855
678,-1.3479,-9.3326,-0.0622,-0.1615,0.0650,0.1194
687,-1.3647,-9.4068,-0.0096,-0.2145,0.0584,0.1556
695,-1.4150,-9.4260,-0.1077,-0.2641,0.0522,0.1873
702,-1.3886,-9.4858,-0.1341,-0.3166,0.0456,0.2137
710,-1.3096,-9.5074,-0.2011,-0.3744,0.0432,0.2411
718,-1.3551,-9.5553,-0.1245,-0.4319,0.0413,0.2683
727,-1.3264,-9.5624,-0.1867,-0.4839,0.0450,0.2910
735,-1.3048,-9.6414,-0.0599,-0.5383,0.0421,0.3086
743,-1.2498,-9.7109,-0.0072,-0.5788,0.0464,0.3240
750,-1.2378,-9.7540,-0.0335,-0.6227,0.0525,0.3368
758,-1.2234,-9.7731,0.0599,-0.6547,0.0624,0.3355
766,-1.2617,-9.8043,0.1556,-0.6779,0.0679,0.3368
775,-1.1899,-9.8737,0.1197,-0.7000,0.0807,0.3301
783,-1.1875,-9.9599,0.1796,-0.7160,0.0933,0.3195
790,-1.2282,-9.9240,0.1197,-0.7277,0.1047,0.3080
798,-1.1157,-9.9599,0.2442,-0.7368,0.1234,0.2899
806,-1.1492,-10.0556,0.2418,-0.7434,0.1412,0.2707
815,-1.1492,-10.1155,0.1389,-0.7461,0.1583,0.2475
823,-1.0870,-10.0628,0.2251,-0.7461,0.1772,0.2225
831,-1.1540,-10.1179,0.2705,-0.7413,0.1948,0.1972
838,-1.1779,-10.1706,0.2753,-0.7341,0.2126,0.1681
846,-1.1588,-10.1849,0.2729,-0.7242,0.2286,0.1375
855,-1.1277,-10.1514,0.2490,-0.7160,0.2478,0.1103
863,-1.1468,-10.2352,0.2346,-0.7056,0.2649,0.0866
871,-1.2617,-10.1993,0.2370,-0.6931,0.2809,0.0621
878,-1.2737,-10.2328,0.1915,-0.6840,0.2947,0.0461
886,-1.2546,-10.3238,0.3112,-0.6752,0.3040,0.0312
894,-1.3288,-10.3214,0.2011,-0.6710,0.3126,0.0216
903,-1.3838,-10.3525,0.1652,-0.6707,0.3230,0.0152
911,-1.3431,-10.3813,0.1676,-0.6662,0.3222,0.0104
919,-1.3551,-10.3693,0.2274,-0.6702,0.3259,0.0109
926,-1.3144,-10.3238,0.1891,-0.6720,0.3240,0.0147
934,-1.3168,-10.4196,0.2274,-0.6755,0.3208,0.0211
943,-1.4389,-10.4100,0.1652,-0.6864,0.3139,0.0272
951,-1.4700,-10.4435,0.2921,-0.6976,0.3054,0.0410
959,-1.5107,-10.4698,0.2203,-0.7157,0.2963,0.0560
966,-1.5107,-10.4483,0.1987,-0.7306,0.2817,0.0738
974,-1.4557,-10.4866,0.1365,-0.7514,0.2683,0.0901
983,-1.4988,-10.5010,0.0982,-0.7743,0.2515,0.1122
991,-1.4772,-10.5345,0.1556,-0.7997,0.2356,0.1292
999,-1.5083,-10.5369,0.1053,-0.8322,0.2217,0.1569
1007,-1.5323,-10.5800,0.1077,-0.8631,0.2060,0.1807
1014,-1.5395,-10.5417,0.1149,-0.8974,0.1924,0.2054
1022,-1.5227,-10.5704,0.1724,-0.9270,0.1719,0.2308
1031,-1.5251,-10.5872,0.0838,-0.9619,0.1540,0.2534
1039,-1.4868,-10.6781,0.0766,-0.9920,0.1396,0.2718
1047,-1.4700,-10.6997,0.1269,-1.0211,0.1300,0.2875
1054,-1.4605,-10.7571,0.1652,-1.0456,0.1154,0.2968
1062,-1.3551,-10.7332,0.2298,-1.0669,0.1069,0.3083
1071,-1.4102,-10.7595,0.2394,-1.0781,0.0957,0.3126
